Hotel Name,Address,City ,Rating,Amenities,Reviews,Reviews,Room Type,Accomodates,Price per Night
Hyatt Ahmedabad,"Vastrapur Lake, Ahmedabad",Ahemadabad,4.5,"Free Wifi Free Parking
Breakfast 
Air Conditioning
Pool",Stayed here a few trips during my Ahmedabad visits. Good connectivity so it is easy to make it a base while moving around the city. The staff is courteous. Rooms are spacious ans well done like all top tier hotels in India. The food is great.,"This is perfectly located place with all amenities one require for a business trip. Even otherwise with ever helpfull staff, even a personal trip with family is equally enjoyable. The food spread is just perfect, and the service prompt. Befits a Hyatt brand !!",Maharaj Suite,1,"38,000"
Hyatt Ahmedabad,"Vastrapur Lake, Ahmedabad",Ahemadabad,4.5,"Free Wifi Free Parking
Breakfast 
Air Conditioning
Pool",Stayed here a few trips during my Ahmedabad visits. Good connectivity so it is easy to make it a base while moving around the city. The staff is courteous. Rooms are spacious ans well done like all top tier hotels in India. The food is great.,"This is perfectly located place with all amenities one require for a business trip. Even otherwise with ever helpfull staff, even a personal trip with family is equally enjoyable. The food spread is just perfect, and the service prompt. Befits a Hyatt brand !!",Executive Suite,3,"16,000"
"Lemon Tree Hotel, Ahmedabad","Mithakali Six Cross Roads, Ahmedabad",Ahemadabad,4.1,"Free Wifi Free Parking
Breakfast 
Air Conditioning",Started the vacation from this hotel. Was very satisfied with the hotel. Well appointed rooms facing the roads. This was my first time at a Lemon tree hotel. If this the standard then kudos. Very reasonable and value for money.,"We have stayed here for 10 days , we felt that there is good facilities for stay and good food quality. I appreciate for the quick responses from all the staff and specially Miss.Bhagyashree was very enthusiastic for every work. Also very good management and customer satisfaction maintained by Mr.Talim.",Premier Suite,3,"6,000"
"Lemon Tree Hotel, Ahmedabad","Mithakali Six Cross Roads, Ahmedabad",Ahemadabad,4.1,"Free Wifi Free Parking
Breakfast 
Air Conditioning",Started the vacation from this hotel. Was very satisfied with the hotel. Well appointed rooms facing the roads. This was my first time at a Lemon tree hotel. If this the standard then kudos. Very reasonable and value for money.,"We have stayed here for 10 days , we felt that there is good facilities for stay and good food quality. I appreciate for the quick responses from all the staff and specially Miss.Bhagyashree was very enthusiastic for every work. Also very good management and customer satisfaction maintained by Mr.Talim.",Executive Suite,2,"4,500"
OYO 646 Hotel Salute,"BJ House, above Bata Showroom, Ahmedabad",Ahemadabad,3.6,"Free Wifi Free Parking
Air Conditioning",We stayed at Hotel Salute for a night. The hotel provides basic stay at reasonable price. The breakfast was Ok with few options. The hotel is located at the back of Bata showroom at Ashram Road. It's in the 5th floor and the lift is too old to use. Uber finds it difficult to locate the hotel. If you are a budget Traveller and looking for a room for a night with breakfast go for hotel salute.,"Located centrally, walking distance from riverfront as well as cinemas the hotel has small rooms with good A/C and also offer a limited selection of breakfast.. The food what ever we had was nice and freshly prepared.. Only they should try for a proper breakfast hall",Deluxe,3,"1,500"
OYO 646 Hotel Salute,"BJ House, above Bata Showroom, Ahmedabad",Ahemadabad,3.6,"Free Wifi Free Parking
Air Conditioning",We stayed at Hotel Salute for a night. The hotel provides basic stay at reasonable price. The breakfast was Ok with few options. The hotel is located at the back of Bata showroom at Ashram Road. It's in the 5th floor and the lift is too old to use. Uber finds it difficult to locate the hotel. If you are a budget Traveller and looking for a room for a night with breakfast go for hotel salute.,"Located centrally, walking distance from riverfront as well as cinemas the hotel has small rooms with good A/C and also offer a limited selection of breakfast.. The food what ever we had was nice and freshly prepared.. Only they should try for a proper breakfast hall",Family,4,"3,000"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
